"id","mother","father"
"B40568",NA,NA
"B24642",NA,NA
"Katahdin","B40568","B24642"
"Wauseon","Katahdin","B5149-8"
"NYM297-17","NYF278-20","Wauseon"
"USDA3895-13",NA,NA
"Earlaine","IrishCobbler","USDA43055"
"USDA96-140","USDA3895-13","Earlaine"
"B81-40","USDA245-52","USDA96-140"
"B962-32","B81-40","USDA245-186"
"WisAg231","Minn113.43-1","B962-32"
"WisChip","W55.306.58","WisAg231"
"Allegany","NYM297-17","WisChip"
"DeltaGold","USDA45208","Earlaine"
"Lenape","B3672-3","DeltaGold"
"Atlantic","Wauseon","Lenape"
"Pike","Allegany","Atlantic"
"Saranac","President","Katahdin"
"USDA96-56","USDA3895-13","Earlaine"
"Merrimack","Saranac","USDA96-56"
"B3944-11",NA,"Merrimack"
"Houma","CharlesDowning","Katahdin"
"B864-2","Houma","USDA247-48"
"B3397-17","B2113-9","B864-2"
"B4494-3","B3944-11","B3397-17"
"NYF9-31","B4494-3","57G5-27"
"Steuben","NYF9-31",NA
"NYN43-288","Steuben",NA
"NY121","NYN43-288","NYE74-7"
"SaginawChipper","Pike","NY121"
"Snowden","Lenape","WisChip"
"S440","WisAg231","P100-4"
"Nicolet","Snowden","S440"
"W16100-13","SaginawChipper","Nicolet"
"Tundra","Pike","S440"
"W16101-11","SaginawChipper","Tundra"
"Chippewa","B40568","B24642"
"Sebago","Chippewa","Katahdin"
"ND457-1","Sebago","Minn.92.36-5"
"Norgleam","ND457-1","ND457-1"
"ND4731-1","Norgleam","Antigo"
"Norchip","ND4731-1","M5009-2"
"ND944-6","ND231-1","Norchip"
"DakotaPearl","ND1118-1","ND944-6"
"W6609-3","Pike","DakotaPearl"
"W16102-3","SaginawChipper","W6609-3"
"Andover","Allegany","Atlantic"
"W877","W703","Lenape"
"MSE250-2","Andover","W877"
"MSJ167-1","P84-13-12","MSE250-2"
"Superior","USDA96-56","MN59.44"
"MSC127-3","Superior","S440"
"MSG227-2","Prestile","MSC127-3"
"MSR127-2","MSJ167-1","MSG227-2"
"W16103-2","MSR127-2","Nicolet"
"W16105-1","MSR127-2","W6609-3"
"B6595-5","Wauseon","Lenape"
"B355-24","USDA96-56","Saranac"
"B83-9","USDA926-36","USDA96-140"
"B607-56","Teton","B83-9"
"B2919-1","B355-24","B607-56"
"B3692-4","AC25953","B2919-1"
"B4537-9","B3692-4","B3944-11"
"NY48","57G16-78","B4537-9"
"NY74","B6595-5","NY48"
"B127","Chippewa","Katahdin"
"Kennebec","B127","USDA96-56"
"6HS-9","Kennebec","Pennchip"
"NYQ155-3","NYK349-7","6HS-9"
"NY88","NY74","NYQ155-3"
"NY115","Pike","NY88"
"NYC101-10","NY121","NY115"
"Marcy","Atlantic","NYQ155-3"
"NYWJ11-5","NYC101-10","Marcy"
"W16118-3","NYWJ11-5","Nicolet"
"Hodag","Pike","DakotaPearl"
"W16126-7","Hodag","MSR127-2"
"W16127-13","Hodag","Nicolet"
"W16130-10","W6609-3","MSR127-2"
